Tag,Twitter,Pronouns,Staff Page Blurb,Staff Page Profile Link,Pic
Ada Basilisk,@comfybasilisk,voi/void,"Haunted doll vtuber, variety streamer, old melty player. Openly claims that F-Hime is fair; clearly cannot be trusted.",http://twitter.com/comfybasilisk,
Akaza,@akazacaiu,he/him,I'm a brazilian top player and narrator,https://twitter.com/Akazacaiu,
Ano Inverno,@AnoTheWinter,"he/him, they/them","Brazillian designer, FG enthusiast and Big Ol' Bass 2 speedrunner.",https://twitter.com/AnoTheWinter,
Antser,@AHD_Antrolos,he/him,"TO for Dawn of Revival, GG and KOF player",https://twitter.com/AHD_Antrolos,https://dl.airtable.com/.attachments/4f39ea64e2cd561f8afd2b7dbc0d1b96/341e798a/antser.png
Aranlyde,@Aranlyde,they/them,,,
arkruis,@arkruis,he/him,"Hi! I am arkruis, commentating for SEA MBTL. Hit up the Airdasher SEA discord if you want some games, or hit me up if you want to nerd out about Type Moon stuff 🌙",https://twitch.tv/arkruis,https://dl.airtable.com/.attachments/f30660974b0d579d9ed7424a3d7887b6/d4bf42a3/arkruis.jpeg
Aroo,@aroolee,He/Him,KoF and Samsho player repping both the Chicago and New York SNK scenes. Commentated a few tournaments too.,https://twitter.com/aroolee,
Billy,@it_burns,he/him,"Billy works as a radio DJ, runs the longest-running (but currently on hiatus) gaming-centric radio show in Metro Manila, and will talk about fighting games every chance he gets... in between the latest Top 40 hits.",https://twitter.com/it_burns,https://dl.airtable.com/.attachments/c4e1704f9daaef0ae35a2930d22d6ce8/e95276bc/Billy.png
Brett,@HellaBrett,,,twitch.tv/thebrett,https://dl.airtable.com/.attachments/7576710d2af23357a528b47fb8cee1d9/62aaaff9/staff_brett.jpg
Chaineru,@Chaineru,he/him,I choose grapplers because my parents never hugged me,https://twitter.com/Chaineru,https://dl.airtable.com/.attachments/603247185d0b283f647ceba748946822/b8690d27/chaineru.png
Chickzama,@chickzama,any,,https://twitter.com/Chickzama,https://dl.airtable.com/.attachments/12eec7166ee9700ad94f540445703559/6ea68d5b/staff_chickzama.jpg
Coren,@CxR_Coren,,,https://twitter.com/cxr_coren,https://dl.airtable.com/.attachments/4d524512302d6f7280fb383137c43132/73824dda/staff_coren.jpg
Crackin Atkins,@CrackinAtkins,He/Him,What's up? What's Good? What's Crackin? My name is Crackin Atkins! Southern California's very own Anime FGC Loud mouth ready to peak your audio mixers.,https://twitter.com/CrackinAtkins,
DF | Rome_Himself,@Romulus_Himself,,,,
Division,,he,Esports is a blight,,https://dl.airtable.com/.attachments/812c96a3ba2f07f2080399ae32ee3b5b/1a20187c/division.jpg
DJCream,@DarylBunao,,,https://twitter.com/DarylBunao,https://dl.airtable.com/.attachments/027feac13ca5ddeaa4722838b5ba1b21/9dd2eaa6/staff_djcream.jpg
donotc0ntinue,@donotc0ntinue,he/him,"T.O. for the brazilian Guilty Gear Xrd tournaments, frequent bracket runner for the quinzenais. Your friendly Raven player.",https://twitter.com/donotc0ntinue,
Element_,@Elementl_,he/him,"Akatsuki Blitzkampf player

Also runs the Povertycast 24/7 Twitch stream",https://twitter.com/Elementl_,
F O X,@makotoFOX_,He/Him,"I might seem initially unfriendly but be assured I'm judging you and your tastes. Also I'm down to listen to any problems you might have, so dont be too scared to hit me up.",https://twitter.com/MakotoFOX_,
Freenicius,@freenicius,,,,
Gasbux_,@Gasbux_,He/Him,"I am the founder one of the French bread community in Indonesia.
I stream and making FG related content (sometimes)
Really love UNI, BBCF and Eternal Return",https://twitter.com/Gasbux_,https://dl.airtable.com/.attachments/0379c3ccf7ba138fbd5b654eb4a52b83/3e05faa9/gasbux_.png
GCMatos,@GCMatosss,he/him,Hello! I'm a FGC comentator and player from Chile! Lots of love to everyone!,https://www.twitch.tv/gcmatosss,
Giby,@ManChest,he/him,"What impudence you human being
",https://twitter.com/ManChest,https://dl.airtable.com/.attachments/141a7d5b6f9ce73e761d995c62b7f4b8/4df56955/staff_giby.jpg
Hababa Tekken 7,@Vince_SGP,he/him,https://www.youtube.com/watch?v=cilB4Asuio4,https://twitter.com/Vince_SGP,https://dl.airtable.com/.attachments/b2a471aa54d61afaf8bccfa24e0d0bb4/25c7e88a/HababaTekken7.jpg
